state,year,p_jan,p_feb,p_mar,p_apr,p_may,p_jun,p_jul,p_aug,p_sep,p_oct,p_nov,p_dec
IA,1988,88.0,0.76,0.47,0.79,1.91,1.77,1.72,2.26,4.13,3.61,0.65,2.61
IA,1989,89.0,0.92,0.54,0.9,2.09,2.57,3.36,3.34,3.58,4.84,1.92,0.27
IA,1990,90.0,0.88,0.67,4.3,2.26,5.73,7.96,6.36,4.32,1.39,1.88,1.65
IA,1991,91.0,0.77,0.3,4.19,5.83,5.19,4.14,2.32,3.45,2.79,2.92,4.36
IA,1992,92.0,1.0,1.29,2.21,3.6,1.75,1.89,8.55,2.55,5.58,1.63,4.38
IA,1993,93.0,1.18,1.15,2.75,3.65,5.6,7.99,10.45,8.25,3.69,1.31,1.09
IA,1994,94.0,1.06,1.18,0.2,2.41,2.05,6.23,3.88,3.62,3.58,1.93,2.21
IA,1995,95.0,0.82,0.32,2.57,4.9,5.88,3.73,3.45,3.52,2.96,2.0,1.7
IA,1996,96.0,1.84,0.27,1.38,1.63,7.34,5.07,3.19,3.79,2.87,2.74,2.65
IA,1997,97.0,0.96,1.68,1.32,2.63,4.03,4.38,2.95,2.76,3.11,3.37,1.02
IA,1998,98.0,1.05,1.63,3.65,3.94,4.3,7.91,3.16,5.01,2.06,4.83,1.61
IA,1999,99.0,1.29,0.91,0.98,6.26,4.89,5.29,5.21,3.11,1.84,0.77,1.02
IA,2000,0.0,0.73,1.37,1.0,2.03,3.6,6.56,4.09,2.62,2.11,1.8,2.15
IA,2001,1.0,1.42,2.16,1.3,3.6,7.04,4.07,3.12,2.97,4.07,2.46,1.55
IA,2002,2.0,0.4,0.89,1.16,3.62,4.1,3.51,4.24,5.81,1.71,3.58,0.22
IA,2003,3.0,0.39,0.82,1.15,3.25,4.61,4.48,4.11,1.03,3.11,1.0,3.46
IA,2004,4.0,0.96,1.17,3.75,1.85,7.74,3.55,4.33,4.56,2.66,2.05,2.21
IA,2005,5.0,1.31,1.52,1.05,3.45,3.85,5.25,3.27,3.02,3.29,0.91,1.75
IA,2006,6.0,0.99,0.32,3.17,4.3,2.44,2.49,3.22,5.75,4.22,1.64,1.77
IA,2007,7.0,0.91,1.68,2.86,4.56,5.35,3.38,3.38,9.69,2.87,5.1,0.18
IA,2008,8.0,0.68,1.71,1.26,5.86,5.67,8.88,5.88,1.96,4.16,3.25,1.72
IA,2009,9.0,0.68,0.79,2.97,3.6,3.64,5.29,4.62,5.75,1.73,6.35,1.19
IA,2010,10.0,1.3,0.96,1.72,3.7,4.19,10.28,7.89,4.83,5.4,0.91,1.64
IA,2011,11.0,0.94,1.39,1.5,3.81,5.0,6.19,3.4,3.02,1.68,0.74,2.08
IA,2012,12.0,0.57,1.68,1.91,3.9,3.51,2.81,1.17,2.88,1.62,2.98,1.05
IA,2013,13.0,0.95,1.27,2.09,6.43,8.65,4.89,1.74,1.49,1.94,2.78,1.59
IA,2014,14.0,0.43,1.5,0.81,4.65,3.04,9.66,3.3,5.92,4.35,3.17,0.76
IA,2015,15.0,0.52,1.11,0.56,3.37,5.06,6.38,5.5,5.28,4.18,1.76,4.08
IA,2016,16.0,0.59,0.88,2.28,3.19,4.36,3.7,5.92,6.14,6.12,2.01,1.39
IA,2017,17.0,1.56,0.99,2.56,3.8,4.8,3.5,2.94,3.83,2.31,5.26,0.41
IA,2018,18.0,1.02,1.54,2.28,1.54,4.7,7.55,3.39,6.42,8.1,4.63,1.81
IA,2019,19.0,1.28,2.34,2.19,3.03,8.21,3.91,3.38,3.53,6.21,4.78,1.49
IA,2020,20.0,1.41,0.43,2.91,1.65,4.57,4.95,2.93,1.23,4.07,1.9,2.09
IA,2021,21.0,1.24,0.79,2.78,1.51,3.85,3.35,4.01,4.65,1.81,5.0,0.98
IA,2022,22.0,0.78,0.28,2.65,3.22,3.59,3.53,3.23,3.49,1.9,0.92,2.04
IA,2023,23.0,1.93,2.26,1.46,2.14,2.67,2.81,3.09,3.04,2.14,3.24,0.31
IA,2024,24.0,1.82,0.21,2.6,4.22,7.55,5.42,5.05,3.09,0.69,1.77,3.29
IL,1988,88.0,2.04,1.94,3.32,1.84,1.7,0.99,2.56,2.55,2.36,2.58,5.12
IL,1989,89.0,1.58,2.01,3.06,3.19,3.46,3.06,3.69,3.84,4.77,1.53,1.35
IL,1990,90.0,2.05,4.02,3.35,2.85,7.91,6.44,4.11,3.81,1.84,4.18,4.08
IL,1991,91.0,1.6,0.96,3.98,3.38,4.99,1.62,2.06,2.7,3.13,5.96,3.65
IL,1992,92.0,1.18,1.46,2.54,2.93,1.28,1.72,7.61,1.9,4.69,1.31,6.51
IL,1993,93.0,3.67,1.78,3.05,5.13,3.29,6.84,6.61,5.05,7.54,2.46,4.22
IL,1994,94.0,1.87,1.7,1.31,6.14,2.15,4.15,2.73,3.58,2.38,2.02,5.54
IL,1995,95.0,3.17,1.0,2.46,4.47,8.89,3.53,2.97,4.18,1.28,3.02,2.53
IL,1996,96.0,2.32,0.8,2.09,5.03,7.74,4.24,4.35,2.02,2.94,2.4,3.19
IL,1997,97.0,2.49,3.9,3.0,2.26,4.03,3.76,2.21,4.76,2.38,1.94,2.46
IL,1998,98.0,2.74,2.53,4.57,4.93,4.78,7.64,3.47,3.3,2.28,4.23,2.45
IL,1999,99.0,4.21,2.42,1.72,5.53,3.68,5.28,2.93,2.79,2.18,1.69,0.53
IL,2000,0.0,1.53,2.53,2.03,2.99,4.4,7.34,4.36,3.56,3.81,2.1,3.18
IL,2001,1.0,1.72,3.19,1.22,2.84,4.35,3.81,3.78,4.07,3.37,6.08,2.62
IL,2002,2.0,2.22,1.83,3.36,5.11,7.34,4.02,2.6,4.19,2.11,3.07,1.04
IL,2003,3.0,0.65,1.83,1.98,3.18,5.5,3.79,4.99,2.55,4.25,1.98,4.51
IL,2004,4.0,1.98,0.76,4.14,1.8,6.83,3.17,4.13,5.08,0.68,4.84,4.76
IL,2005,5.0,5.34,1.88,1.56,2.57,1.74,1.87,3.23,3.68,3.63,1.26,3.51
IL,2006,6.0,2.74,0.88,4.58,3.79,3.58,2.98,4.09,4.05,3.42,3.8,3.32
IL,2007,7.0,2.93,2.31,3.21,3.51,2.24,4.13,3.31,4.36,1.59,3.5,1.72
IL,2008,8.0,2.43,4.4,4.53,4.34,5.36,5.49,5.91,1.93,7.62,2.42,1.49
IL,2009,9.0,1.01,2.43,4.05,6.16,5.65,5.12,4.59,4.72,2.28,8.49,2.48
IL,2010,10.0,1.44,1.53,2.74,3.36,5.4,7.71,5.35,3.18,3.73,1.32,3.15
IL,2011,11.0,1.19,3.24,2.72,7.62,5.28,6.69,3.61,1.87,3.56,1.8,5.17
IL,2012,12.0,1.89,1.48,2.08,3.13,2.47,1.73,1.4,3.5,5.04,3.93,1.21
IL,2013,13.0,3.81,2.65,2.61,6.93,6.57,5.33,3.16,1.44,1.69,3.33,2.49
IL,2014,14.0,1.72,2.22,1.46,5.15,3.29,6.77,3.29,5.19,4.11,4.33,1.86
IL,2015,15.0,1.5,1.43,2.35,3.41,5.39,9.44,5.21,3.02,3.42,1.44,5.52
IL,2016,16.0,0.86,1.31,3.35,3.3,4.34,3.13,6.9,6.77,3.42,2.38,2.58
IL,2017,17.0,2.13,0.73,3.56,6.88,5.17,3.19,4.81,2.4,0.83,5.0,2.26
IL,2018,18.0,1.3,4.88,3.91,2.42,3.8,6.29,3.44,4.91,4.9,3.68,3.01
IL,2019,19.0,3.31,3.21,4.06,4.58,8.16,5.16,3.05,4.05,5.0,5.0,2.4
IL,2020,20.0,4.36,2.0,3.95,4.32,5.28,3.61,5.61,1.91,3.26,2.97,2.95
IL,2021,21.0,2.46,1.67,3.97,3.04,4.31,5.17,4.97,3.73,2.29,6.02,0.86
IL,2022,22.0,1.05,3.16,4.36,3.55,4.08,2.76,5.28,4.06,2.54,2.22,1.82
IL,2023,23.0,2.62,2.83,4.34,2.55,2.48,1.89,4.75,4.01,2.4,3.3,0.72
IL,2024,24.0,4.19,0.48,2.92,6.01,4.59,3.08,6.52,2.81,2.67,0.9,4.1
IN,1988,88.0,1.77,3.11,3.07,2.99,1.54,0.69,4.2,2.92,2.74,3.35,5.33
IN,1989,89.0,2.39,2.65,4.35,4.29,5.23,3.67,5.39,4.34,4.95,1.92,2.76
IN,1990,90.0,2.3,5.28,2.85,2.89,7.49,4.6,4.87,5.13,2.59,5.14,3.38
IN,1991,91.0,2.01,1.88,4.46,3.63,4.03,1.54,2.44,3.25,2.34,5.14,3.16
IN,1992,92.0,1.54,1.24,3.15,3.42,2.46,2.87,8.55,2.97,4.62,1.68,5.8
IN,1993,93.0,3.81,2.02,2.8,4.74,3.55,5.8,4.37,4.39,6.24,3.32,5.43
IN,1994,94.0,2.67,1.4,1.37,5.7,2.68,4.18,3.37,3.46,2.38,1.4,4.51
IN,1995,95.0,2.86,1.18,2.57,4.51,7.26,3.98,2.83,4.3,1.07,2.99,2.69
IN,1996,96.0,3.12,1.2,2.58,6.64,7.65,5.03,5.08,1.62,4.94,2.22,4.14
IN,1997,97.0,3.04,3.28,4.81,2.07,5.71,5.5,2.95,3.96,2.26,1.61,2.61
IN,1998,98.0,3.04,1.82,4.24,6.06,4.59,7.74,4.96,3.58,1.06,3.55,2.2
IN,1999,99.0,4.92,3.41,2.0,4.9,3.12,4.13,2.7,2.24,1.36,2.02,1.06
IN,2000,0.0,2.54,3.46,2.2,3.23,4.53,6.21,3.89,4.41,4.61,2.33,2.98
IN,2001,1.0,1.02,2.86,0.97,2.75,4.32,4.09,5.46,4.02,3.76,7.75,3.34
IN,2002,2.0,2.24,2.32,4.38,5.59,7.09,3.28,2.64,2.82,3.75,2.87,2.35
IN,2003,3.0,1.42,2.74,2.16,3.0,6.56,3.26,8.18,3.54,6.2,2.4,4.26
IN,2004,4.0,3.48,0.83,3.46,1.83,7.17,4.43,5.19,4.85,0.72,4.14,4.73
IN,2005,5.0,7.11,2.25,2.12,3.04,2.57,3.21,4.43,4.76,4.1,1.24,3.91
IN,2006,6.0,3.28,1.62,5.14,4.27,5.25,4.2,4.85,4.76,4.56,5.01,3.25
IN,2007,7.0,4.75,2.43,3.54,4.15,1.75,3.28,3.17,4.55,2.53,3.81,2.77
IN,2008,8.0,3.23,4.81,6.48,3.36,5.68,6.58,4.32,2.01,3.86,2.23,2.11
IN,2009,9.0,1.62,2.8,3.23,5.74,5.67,4.69,4.43,3.76,2.87,6.69,1.46
IN,2010,10.0,1.52,1.48,3.1,3.16,5.49,7.68,4.15,1.84,1.35,1.17,5.01
IN,2011,11.0,1.5,4.21,3.46,9.61,6.51,5.22,2.74,2.55,5.31,3.29,6.21
IN,2012,12.0,3.4,1.54,2.73,2.22,2.75,1.29,2.53,4.05,5.17,3.95,0.98
IN,2013,13.0,4.71,2.21,2.3,6.38,3.71,6.24,3.21,1.84,2.99,4.12,3.04
IN,2014,14.0,2.33,2.64,1.85,5.73,4.23,5.61,3.36,4.96,3.48,4.13,2.66
IN,2015,15.0,2.11,1.4,3.54,4.79,3.98,9.07,6.23,2.57,2.39,2.42,3.57
IN,2016,16.0,1.34,2.78,4.46,4.17,3.53,4.28,5.13,6.48,3.66,2.61,2.58
IN,2017,17.0,3.68,1.35,4.04,4.83,6.9,4.37,6.07,2.26,2.03,4.32,4.43
IN,2018,18.0,2.05,5.91,3.92,3.59,3.42,6.55,3.37,5.33,5.4,2.82,4.32
IN,2019,19.0,3.5,4.45,4.18,5.62,6.02,6.12,3.61,3.51,2.26,4.29,2.7
IN,2020,20.0,4.65,2.81,4.62,3.05,5.07,3.52,4.58,3.31,1.53,4.44,3.02
IN,2021,21.0,2.45,2.21,3.82,2.94,3.72,5.93,5.44,3.42,4.06,6.03,1.43
IN,2022,22.0,1.68,4.53,4.02,3.3,5.06,2.34,5.49,3.83,2.26,1.79,1.6
IN,2023,23.0,3.35,3.1,5.78,2.78,2.56,2.55,5.24,3.84,1.36,3.51,0.78
IN,2024,24.0,5.11,1.12,2.78,6.68,4.78,2.81,5.17,2.65,3.19,0.33,4.1
MO,1988,88.0,1.31,1.95,3.91,2.33,2.3,1.44,4.05,3.61,4.3,1.8,4.97
MO,1989,89.0,1.97,2.92,3.19,1.6,4.14,4.37,3.96,4.9,3.01,1.98,0.52
MO,1990,90.0,2.79,4.41,5.06,3.67,8.99,4.89,3.92,2.97,2.35,3.62,3.13
MO,1991,91.0,2.02,0.71,2.76,5.38,5.26,2.21,3.4,2.26,3.71,4.28,4.29
MO,1992,92.0,0.98,2.07,2.91,3.53,2.43,2.93,7.13,2.37,4.78,1.44,7.72
MO,1993,93.0,3.26,1.97,2.69,4.36,4.97,6.35,8.92,4.25,11.31,2.33,4.41
MO,1994,94.0,1.54,2.11,2.04,9.41,2.48,3.73,3.08,3.67,2.48,3.17,6.43
MO,1995,95.0,3.13,1.43,1.93,5.14,9.78,5.4,3.89,3.49,2.33,1.81,1.67
MO,1996,96.0,2.48,0.55,2.78,4.5,6.82,3.94,4.8,2.85,5.73,2.94,5.15
MO,1997,97.0,1.86,4.26,3.03,3.74,5.06,4.02,2.21,4.13,3.21,3.42,2.39
MO,1998,98.0,2.49,2.96,5.83,4.09,3.2,7.27,6.44,2.38,4.65,5.66,3.21
MO,1999,99.0,3.28,2.27,2.75,6.01,4.65,4.78,1.93,2.2,2.56,1.53,1.14
MO,2000,0.0,1.37,2.74,2.55,1.23,4.16,6.94,4.05,2.69,2.83,2.81,2.88
MO,2001,1.0,1.98,4.39,1.71,2.97,5.5,5.91,4.87,2.98,3.48,4.36,2.55
MO,2002,2.0,2.64,1.42,3.51,4.6,9.6,2.95,3.11,3.74,1.94,3.54,0.84
MO,2003,3.0,0.59,2.46,2.3,4.04,4.9,4.72,2.47,3.74,5.19,2.24,4.08
MO,2004,4.0,2.16,0.93,4.98,3.43,5.65,3.47,5.65,5.21,1.14,4.76,5.71
MO,2005,5.0,4.94,2.37,1.61,3.35,2.16,3.9,2.92,5.54,3.94,1.71,3.13
MO,2006,6.0,2.09,0.53,3.84,3.74,3.62,3.12,3.56,4.46,2.84,3.71,3.5
MO,2007,7.0,2.86,2.37,2.69,3.77,5.15,5.11,2.31,3.24,3.0,3.95,1.16
MO,2008,8.0,1.52,4.47,6.81,6.6,5.42,6.98,6.34,2.54,8.15,2.52,1.61
MO,2009,9.0,0.89,1.89,3.97,5.23,5.86,5.77,4.46,4.77,3.76,9.87,2.27
MO,2010,10.0,2.12,1.73,3.35,3.94,6.77,4.79,6.77,2.53,7.86,0.73,3.08
MO,2011,11.0,1.02,3.52,3.47,7.6,6.36,4.08,2.48,3.92,2.58,1.21,5.72
MO,2012,12.0,1.3,2.3,4.17,3.74,2.16,1.9,1.7,2.44,4.9,3.17,1.57
MO,2013,13.0,3.33,3.19,3.48,6.21,6.84,4.46,3.07,4.08,2.5,3.61,2.44
MO,2014,14.0,1.09,1.22,1.7,5.09,3.19,6.1,2.59,4.34,3.85,6.23,1.71
MO,2015,15.0,1.19,1.7,3.24,3.53,7.3,7.36,7.93,3.96,2.18,1.56,7.9
MO,2016,16.0,0.9,1.02,2.99,3.71,5.78,2.43,6.56,6.61,4.39,2.29,1.49
MO,2017,17.0,1.84,0.59,3.9,9.57,5.97,4.32,3.39,5.15,1.02,3.78,0.91
MO,2018,18.0,1.64,4.89,3.78,2.03,4.18,3.7,2.49,5.66,3.52,4.68,2.73
MO,2019,19.0,3.04,3.6,4.2,3.5,10.31,5.71,4.48,6.16,3.28,5.0,2.87
MO,2020,20.0,4.41,2.51,5.51,3.98,6.26,3.64,5.77,2.91,3.1,3.68,3.04
MO,2021,21.0,3.32,1.15,5.24,4.36,4.99,5.57,4.86,2.99,2.33,5.97,1.04
MO,2022,22.0,1.7,2.97,4.41,4.52,6.25,2.75,4.0,3.86,1.7,2.74,3.2
MO,2023,23.0,2.67,2.94,4.89,1.75,2.84,1.89,4.45,6.01,1.95,2.99,0.8
MO,2024,24.0,3.51,0.61,2.77,5.69,5.75,4.88,5.52,3.03,2.73,1.47,5.47
OH,1988,88.0,1.39,3.28,2.41,2.44,1.72,0.83,4.44,3.51,3.15,2.39,4.28
OH,1989,89.0,2.33,2.92,4.01,4.14,5.91,5.63,3.79,3.23,3.81,2.55,2.69
OH,1990,90.0,2.28,4.31,1.83,3.02,7.11,3.85,6.27,4.09,4.25,4.44,2.09
OH,1991,91.0,2.2,1.98,3.53,3.73,2.83,1.77,2.82,3.04,2.65,2.05,1.82
OH,1992,92.0,1.98,1.39,3.39,3.09,3.13,2.69,8.77,3.9,3.37,1.75,4.51
OH,1993,93.0,3.37,2.17,3.5,3.91,2.12,4.63,3.87,1.57,3.85,2.86,4.72
OH,1994,94.0,3.43,1.83,2.84,4.63,2.5,4.13,3.61,4.28,1.81,0.9,3.08
OH,1995,95.0,3.8,1.31,1.81,3.6,6.0,4.23,3.23,4.17,1.42,4.37,2.64
OH,1996,96.0,3.71,2.15,3.1,5.46,6.44,4.89,4.57,1.62,5.4,2.33,3.4
OH,1997,97.0,2.24,2.28,5.01,1.63,5.16,5.13,3.36,4.95,2.21,1.52,2.64
OH,1998,98.0,3.41,2.55,2.75,5.59,3.29,7.2,3.33,3.72,1.46,2.95,1.65
OH,1999,99.0,4.21,2.66,1.93,4.05,2.2,2.1,3.65,3.14,1.85,2.15,2.49
OH,2000,0.0,2.62,3.24,2.48,4.05,4.8,4.89,3.94,3.81,3.94,2.2,1.8
OH,2001,1.0,1.28,1.57,1.79,3.54,5.42,3.09,3.63,3.54,3.09,4.62,2.98
OH,2002,2.0,2.06,1.64,3.77,4.75,5.18,3.58,2.75,2.12,4.11,2.96,2.89
OH,2003,3.0,1.61,2.88,2.18,2.53,6.79,3.97,6.71,4.82,5.96,2.53,3.65
OH,2004,4.0,3.61,1.36,3.26,3.21,6.89,4.57,4.56,4.07,4.31,2.74,3.61
OH,2005,5.0,6.7,1.72,2.59,4.42,2.44,1.78,4.17,4.99,3.35,2.65,3.46
OH,2006,6.0,3.08,1.63,2.66,3.18,4.18,4.57,5.55,3.04,4.79,5.67,2.17
OH,2007,7.0,4.51,2.05,4.07,3.42,1.56,2.77,3.62,5.72,2.37,3.23,3.24
OH,2008,8.0,2.36,4.9,6.41,2.52,4.67,6.42,3.61,1.9,2.52,1.85,2.4
OH,2009,9.0,2.47,2.03,2.47,3.87,3.68,4.01,4.05,3.07,2.67,4.16,0.98
OH,2010,10.0,1.76,2.05,2.85,2.18,5.37,6.32,3.45,2.72,2.11,1.93,4.14
OH,2011,11.0,1.47,4.58,4.24,7.63,6.55,3.81,3.8,3.93,5.89,4.36,5.42
OH,2012,12.0,3.38,1.62,3.09,1.93,3.68,2.11,3.45,2.97,5.1,4.46,0.83
OH,2013,13.0,2.61,1.88,2.42,3.84,2.28,5.92,6.68,2.7,2.63,3.64,2.96
OH,2014,14.0,2.08,2.6,2.0,5.28,3.98,5.42,3.45,4.14,2.19,2.97,1.93
OH,2015,15.0,2.46,1.47,3.52,4.58,3.34,8.03,4.75,2.49,3.07,2.76,2.24
OH,2016,16.0,1.34,3.24,4.01,3.4,3.4,3.29,3.23,4.2,3.72,2.93,1.31
OH,2017,17.0,4.06,2.03,4.5,4.06,5.29,4.62,6.29,2.32,1.86,3.77,5.14
OH,2018,18.0,2.31,5.4,3.3,4.63,4.0,5.5,3.26,4.96,6.3,2.77,5.16
OH,2019,19.0,3.42,4.69,3.54,4.31,4.82,6.76,4.45,3.64,1.74,3.8,2.19
OH,2020,20.0,3.51,2.98,4.98,3.66,5.1,3.12,3.16,3.71,3.18,4.19,2.51
OH,2021,21.0,1.98,2.03,2.98,2.88,3.79,4.25,5.66,4.29,3.79,4.64,1.56
OH,2022,22.0,2.32,4.83,2.82,2.96,5.39,3.82,5.06,4.09,3.06,1.38,2.8
OH,2023,23.0,4.23,2.33,4.17,3.2,2.29,3.29,5.22,4.75,0.97,3.24,1.6
OH,2024,24.0,4.37,1.39,3.0,5.57,4.27,2.6,3.15,2.51,3.4,0.76,3.25
